Name,Symbol,,,,,,,,
CKH HOLDINGS,0001.HK,,,,,,,,
CLP HOLDINGS,0002.HK,,,,,,,,
HK & CHINA GAS,0003.HK,,,,,,,,
HSBC HOLDINGS,0005.HK,,,,,,,,
POWER ASSETS,0006.HK,,,,,,,,
HANG SENG BANK,0011.HK,,,,,,,,
HENDERSON LAND,0012.HK,,,,,,,,
SHK PPT,0016.HK,,,,,,,,
NEW WORLD DEV,0017.HK,,,,,,,,
GALAXY ENT,0027.HK,,,,,,,,
MTR CORPORATION,0066.HK,,,,,,,,
HANG LUNG PPT,0101.HK,,,,,,,,
GEELY AUTO,0175.HK,,,,,,,,
ALI HEALTH,0241.HK,,,,,,,,
CITIC,0267.HK,,,,,,,,
BYD ELECTRONIC,0285.HK,,,,,,,,
WH GROUP,0288.HK,,,,,,,,
CHINA RES BEER,0291.HK,,,,,,,,
OOIL,0316.HK,,,,,,,,
TINGYI,0322.HK,,,,,,,,
SINOPEC CORP,0386.HK,,,,,,,,
HKEX,0388.HK,,,,,,,,
TECHTRONIC IND,0669.HK,,,,,,,,
CHINA OVERSEAS,0688.HK,,,,,,,,
TENCENT,0700.HK,,,,,,,,
CHINA UNICOM,0762.HK,,,,,,,,
CHINA RES POWER,0836.HK,,,,,,,,
PETROCHINA,0857.HK,,,,,,,,
XINYI GLASS,0868.HK,,,,,,,,
ZHONGSHENG HLDG,0881.HK,,,,,,,,
CNOOC,0883.HK,,,,,,,,
CCB,0939.HK,,,,,,,,
CHINA MOBILE,0941.HK,,,,,,,,
LONGFOR GROUP,0960.HK,,,,,,,,
XINYI SOLAR,0968.HK,,,,,,,,
SMIC,0981.HK,,,,,,,,
LENOVO GROUP,0992.HK,,,,,,,,
CKI HOLDINGS,1038.HK,,,,,,,,
HENGAN INT'L,1044.HK,,,,,,,,
CHINA SHENHUA,1088.HK,,,,,,,,
CSPC PHARMA,1093.HK,,,,,,,,
SINOPHARM,1099.HK,,,,,,,,
CHINA RES LAND,1109.HK,,,,,,,,
CK ASSET,1113.HK,,,,,,,,
SINO BIOPHARM,1177.HK,,,,,,,,
CHINA RES MIXC,1209.HK,,,,,,,,
BYD COMPANY,1211.HK,,,,,,,,
AIA,1299.HK,,,,,,,,
CHINAHONGQIAO,1378.HK,,,,,,,,
ICBC,1398.HK,,,,,,,,
XIAOMI-W,1810.HK,,,,,,,,
BUD APAC,1876.HK,,,,,,,,
SANDS CHINA LTD,1928.HK,,,,,,,,
CHOW TAI FOOK,1929.HK,,,,,,,,
WHARF REIC,1997.HK,,,,,,,,
LI AUTO-W,2015.HK,,,,,,,,
ANTA SPORTS,2020.HK,,,,,,,,
WUXI BIO,2269.HK,,,,,,,,
SHENZHOU INTL,2313.HK,,,,,,,,
PING AN,2318.HK,,,,,,,,
MENGNIU DAIRY,2319.HK,,,,,,,,
LI NING,2331.HK,,,,,,,,
WUXI APPTEC,2359.HK,,,,,,,,
SUNNY OPTICAL,2382.HK,,,,,,,,
BOC HONG KONG,2388.HK,,,,,,,,
CHINA LIFE,2628.HK,,,,,,,,
ENN ENERGY,2688.HK,,,,,,,,
ZIJIN MINING,2899.HK,,,,,,,,
MEITUAN-W,3690.HK,,,,,,,,
HANSOH PHARMA,3692.HK,,,,,,,,
CM BANK,3968.HK,,,,,,,,
BANK OF CHINA,3988.HK,,,,,,,,
JD HEALTH,6618.HK,,,,,,,,
HAIER SMARTHOME,6690.HK,,,,,,,,
HAIDILAO,6862.HK,,,,,,,,
NONGFU SPRING,9633.HK,,,,,,,,
BABA-W,9988.HK,,,,,,,,
