Symbol,Name
0321.HK,TEXWINCA HOLD
2495.HK,VOICECOMM
1899.HK,XINGDA INT'L
0538.HK,AJISEN (CHINA)
0444.HK,SINCEREWATCH HK
1358.HK,PW MEDTECH
1440.HK,STAR SHINE HLDG
6677.HK,SINO-OCEAN SERV
8213.HK,STARGLORY HLDGS
0033.HK,INTL GENIUS
2473.HK,XXF
1050.HK,KARRIE INT'L
0702.HK,SINO OIL & GAS
2131.HK,NETJOY
1628.HK,YUZHOU GROUP
0900.HK,AEON CREDIT
6860.HK,FINGERTANGO
0235.HK,CSC HOLDINGS
1786.HK,CRCCE
1909.HK,FIRE ROCK
1317.HK,MAPLELEAF EDU
0228.HK,CHINA ENERGY
0071.HK,MIRAMAR HOTEL
80291.HK,CHINARES BEER-R
2197.HK,CLOVER BIO-B
2111.HK,BEST PACIFIC
0418.HK,FOUNDER HOLD
2048.HK,E-HOUSE ENT
0111.HK,CINDA INTL HLDG
0595.HK,AV CONCEPT HOLD
0632.HK,CHK OIL
1970.HK,IMAX CHINA
1753.HK,DUIBA
0527.HK,RUIFENG RENEW
1916.HK,JIANGXI BANK
2439.HK,CH TREASURES NM
1569.HK,MINSHENG EDU
6878.HK,DIFFER GP AUTO
9889.HK,DRCB
9877.HK,JENSCARE-B
1098.HK,ROAD KING INFRA
1571.HK,XIN POINT HOLD
2507.HK,CIRRUS
1061.HK,ESSEX BIO-TECH
8385.HK,PROSPEROUSPRINT
2779.HK,CH XINHUA EDU
2198.HK,CHINA SANJIANG
3788.HK,CHINA HANKING
0752.HK,PICO FAR EAST
0240.HK,BUILD KING HOLD
0612.HK,DING YI FENG
0034.HK,KOWLOON DEV
1270.HK,LANGHAM-SS
0510.HK,CASH FIN SER GP
2315.HK,BIOCYTOGEN-B
8195.HK,LEGENDARY EDU
0258.HK,TOMSON GROUP
3623.HK,C SUCCESS FIN
1626.HK,JIA YAO HLDGS
1250.HK,SDHS NEW ENERGY
0591.HK,C HIGHPRECISION
1122.HK,QINGLING MOTORS
3718.HK,BJ ENT URBAN
0052.HK,FAIRWOOD HOLD
1003.HK,HUANXI MEDIA
1525.HK,GENCH EDU
0438.HK,IRICO NEWENERGY
2161.HK,JBM HEALTHCARE
1141.HK,CMBC CAPITAL
9857.HK,LINMON MEDIA
1713.HK,SICHUAN EN INV
0064.HK,GET NICE
1036.HK,VANKE OVERSEAS
0818.HK,HI SUN TECH
0906.HK,COFCO PACKAGING
2798.HK,PER ENERGY
1201.HK,TESSON HOLDINGS
0875.HK,CONGYU INTE AGR
0103.HK,SHOUGANG CENT
2120.HK,KN HOSPITAL
2283.HK,TK GROUP HLDG
0757.HK,SOLARGIGA
0196.HK,HONGHUA GROUP
0127.HK,CHINESE EST H
2302.HK,CNNC INT'L
1588.HK,CHANJET
6108.HK,NEW RAY MEDIC
1982.HK,NAMESON HLDGS
2385.HK,READBOY
9960.HK,KINDSTAR GLOBAL
1651.HK,TSUGAMI CHINA
9616.HK,NEUEDU
0480.HK,HKR INT'L
1717.HK,AUSNUTRIA
8279.HK,AGTECH HOLDINGS
0829.HK,SHENGUAN HLDGS
0217.HK,CHINA CHENGTONG
0979.HK,GREEN ENERGY GP
2279.HK,YONGHE MEDICAL
3836.HK,HARMONY AUTO
0210.HK,DAPHNE INT'L
0360.HK,NEW FOCUS AUTO
6896.HK,GOLDEN THROAT
2298.HK,COSMO LADY
6828.HK,BG BLUE SKY
1593.HK,CHEN LIN EDU
0661.HK,CDAYENONFER
0164.HK,CHINA BAOLI TEC
6898.HK,CHINA ALUMCAN
0468.HK,GAPACK
2479.HK,TIANJUDIHE
2337.HK,UNITED STRENGTH
2405.HK,POWERWIN TECH
0713.HK,WORLD HOUSEWARE
2490.HK,LC LOGISTICS
2355.HK,BAOYE GROUP
2125.HK,STRAWBEAR ENT
2135.HK,RAILY AESMED
2540.HK,LESI GROUP
1945.HK,ZERO2IPO
6978.HK,IMMUNOTECH-B
8371.HK,TASTEGOURMET GP
2373.HK,BEAUTYFARM MED
0798.HK,CEOVU
3313.HK,ARTGO HOLDINGS
1616.HK,A METAVERSE
0606.HK,SCE CM
0950.HK,LEE'S PHARM
1346.HK,LEVER STYLE
9958.HK,LITIAN PICTURES
2633.HK,JACOBSON PHARMA
1068.HK,YURUN FOOD
6123.HK,YTO INTL EXP
0666.HK,REPT BATTERO
6068.HK,WISDOM EDU INTL
2450.HK,HUAIBEI GD CO
82333.HK,GREATWALL MOTOR
1140.HK,WEALTHINK AI
2245.HK,LYGEND RESOURCE
9936.HK,XIMEI RESOURCES
0280.HK,KING FOOK HOLD
2195.HK,UNITY ENT
1168.HK,SINOLINK HOLD
1586.HK,LEON INSPECTION
0296.HK,EMPEROR E HOTEL
0065.HK,GRAND OCEAN AR
0809.HK,GLOBAL BIO-CHEM
1809.HK,PRINX CHENGSHAN
8223.HK,ZYY
1895.HK,XINYUAN PM
0677.HK,GOLDEN RES DEV
3366.HK,OCT (ASIA)
0521.HK,CWT INT'L
0686.HK,BJ ENERGY INTL
2306.HK,YH ENT
0408.HK,YIP'S CHEMICAL
1373.HK,IH RETAIL
9919.HK,ACTIVATION GP
0399.HK,INNOVATIVE PHAR
0746.HK,L & M CHEMICAL
1745.HK,LVJI TECH
0376.HK,YUNFENG FIN
1979.HK,TEN PAO GROUP
0869.HK,PLAYMATES TOYS
2187.HK,ZHIXIN GP HLDG
1854.HK,CHINA WANTIAN
1476.HK,HENGTOU SEC
1022.HK,FEIYU
0756.HK,SUMMI
1020.HK,CYBERNAUT INT'L
6128.HK,GRAPHEX GROUP
0188.HK,SUNWAH KINGSWAY
3601.HK,LUDASHI
8476.HK,OCEAN ONE HLDG
0045.HK,HK&S HOTELS
8637.HK,METASURFACE
0750.HK,SFSY ENERGY
0931.HK,CHINA HK POWER
6929.HK,ORBUSNEICH
0149.HK,CH AGRI-PROD EX
6696.HK,MANY IDEA CLOUD
0222.HK,MIN XIN HOLD
0690.HK,UNI-BIO GROUP
0432.HK,PCPD
0098.HK,XINGFA ALUM
2457.HK,BUYANG INTL
2147.HK,ZHENGWEI GROUP
8328.HK,XY ELEC STORAGE
1718.HK,WAN KEI GROUP
1272.HK,DATANG ENVIRO
0239.HK,PAK FAH YEOW
6628.HK,TRANSCENTA-B
9680.HK,CHENQI TECH
0771.HK,AUTOMATED SYS
1007.HK,LONGHUI INTL
1203.HK,GUANGNAN (HOLD)
2008.HK,PHOENIX TV
1499.HK,OKG TECH
0531.HK,SAMSON HOLDING
1565.HK,VIRSCEND EDU
1502.HK,FIN STREET PPT
0362.HK,C ZENITH CHEM
2260.HK,VANOV HOLDINGS
0124.HK,GD LAND
1188.HK,HYBRID KINETIC
1280.HK,QIDIAN GUOFENG
0607.HK,FULLSHARE
0832.HK,CENTRAL CHINA
0053.HK,GUOCO GROUP
1645.HK,HAINA INTEL
2297.HK,RAINMED-B
0450.HK,HUNG HING PRINT
3839.HK,CT ENTERPRISE
2281.HK,XINGLU WATER
2221.HK,NEW CONCEPTS
1085.HK,HXTL
1229.HK,NAN NAN RES
1870.HK,ACME INTL HLDGS
3315.HK,GOLDPAC GROUP
1778.HK,COLOUR LIFE
2170.HK,BASECARE-B
6811.HK,TAI HING GROUP
2286.HK,CHEN XING
2503.HK,ZHONGSHENJIANYE
0393.HK,GLORIOUS SUN
1757.HK,AFFLUENT FDN
8095.HK,BEIDA JADE BIRD
0166.HK,NEW TIMES CORP
0821.HK,VC HOLDINGS
1051.HK,G-RESOURCES
0618.HK,PKU RESOURCES
0616.HK,EMINENCE ENT
0536.HK,TRADELINK
2312.HK,CH FIN LEASING
0733.HK,HOPEFLUENT
0712.HK,COMTEC SOLAR
0154.HK,BE ENVIRONMENT
2237.HK,CHINA GRAPHITE
1029.HK,IRC
0298.HK,CHUANG'S CHINA
2422.HK,REGO INTERACT
6913.HK,SCVE GROUP
2322.HK,HK CHAOSHANG GP
1756.HK,C VOCATIONAL ED
1846.HK,EUROEYES
0603.HK,CHINA OIL & GAS
1206.HK,TECHNOVATOR
0755.HK,SHANGHAI ZENDAI
0807.HK,SIICENVIRONMENT
2455.HK,RUNHUA SERVICE
0894.HK,MAN YUE TECH
2536.HK,PALASINO
8529.HK,UBOT HOLDING
0655.HK,HK CHINESE LTD
6882.HK,EGL HOLDINGS
1281.HK,XINDA INV HLDGS
0887.HK,EMPEROR WATCH&J
3737.HK,ZHONGZHIPHARM
6820.HK,FRIENDTIMES
2000.HK,SIM TECH
1090.HK,DA MING INT'L
0243.HK,QPL INT'L
2107.HK,FIRST SERVICE
1471.HK,ZHONGMIAO
8123.HK,SINOFORTUNE FIN
1612.HK,VINCENT MED
1269.HK,FIRST CAP GP
1978.HK,LH GROUP
0848.HK,MAOYE INT'L
2985.HK,HUABANG TECH
1432.HK,CHINA SHENGMU
0373.HK,ALLIED GROUP
1920.HK,HANDS FORM HLDG
0163.HK,EMPEROR INT'L
0689.HK,EPI (HOLDINGS)
0533.HK,GOLDLION HOLD
1894.HK,HANG YICK HLDGS
0609.HK,TIANDE CHEMICAL
0057.HK,CHEN HSONG HOLD
3828.HK,MING FAI INT'L
3886.HK,TOWN HEALTH
0433.HK,NORTH MINING
9983.HK,CC NEW LIFE
1986.HK,TSAKER NE
1518.HK,NC HEALTHCARE
0040.HK,GOLD PEAK
2368.HK,EAGLE NICE
0106.HK,LANDSEA MGMT
2421.HK,KRP DEVELOPMENT
2207.HK,RONSHINE SERV
1469.HK,GET NICE FIN
1647.HK,GRANDSHORES
0059.HK,SKYFAME REALTY
1526.HK,RICI HEALTH
2608.HK,SUNSHINE 100
2235.HK,MICROTECH MED-B
1142.HK,E&P GLOBAL
1293.HK,GRAND BAOXIN
1396.HK,GD-HKGBA HLDGS
6118.HK,AUSTAR
1082.HK,BDV EDU INTL
2480.HK,LUZHU BIOTECH-B
1539.HK,UNITY GP HLDGS
1662.HK,YEE HOP HLDGS
8540.HK,VICTORY SEC
0673.HK,CHINA HEALTH
1312.HK,KONTA CHINA
2427.HK,GUANZE MEDICAL
1111.HK,HUASHI GROUP
0397.HK,MINERVA GROUP
2360.HK,BEST MART 360
1147.HK,EDENSOFT
1676.HK,GAODI HOLDINGS
1572.HK,CHINA ART FIN
1985.HK,MICROWARE
2326.HK,NPE HOLDINGS
0037.HK,FE HOTELS
0313.HK,RICHLY FIELD
3322.HK,WIN HANVERKY
3708.HK,CH SUPPLY CHAIN
2515.HK,TJCD
0927.HK,FUJIKON IND
0331.HK,FSE LIFESTYLE
2003.HK,VCREDIT
2321.HK,SWANGCHAICHUAN
2497.HK,FUJING HOLDINGS
1181.HK,TANG PALACE
6885.HK,JINMA ENERGY
0335.HK,UPBEST GROUP
0571.HK,ESUN HOLDINGS
1345.HK,SH PIONEER HLDG
1216.HK,ZYBANK
1401.HK,SPROCOMM INTEL
0559.HK,DETAI NEWENERGY
1742.HK,HPC HOLDINGS
9977.HK,FENGXIANG CO
1522.HK,BII TRANS TECH
9663.HK,SINOSYNERGY
1148.HK,POWER XINCHEN
2251.HK,AIRDOC-B
1180.HK,PARADISE ENT
9968.HK,HUIJING HLDGS
1815.HK,CSMALL
2066.HK,SHENGJINGBANK
0727.HK,CROWNICORP
8500.HK,ICONCULTURE
0860.HK,APOLLO FMG
0259.HK,YEEBO (INT'L H)
9991.HK,BAOZUN-W
1376.HK,RAFFLESINTERIOR
0543.HK,PACIFIC ONLINE
1372.HK,C CARBONNEUTRAL
1062.HK,CDB INT'L INV
2030.HK,CABBEEN
0637.HK,LEE KEE
1075.HK,CAPINFO
8221.HK,GAOYU FINANCE
0922.HK,ANXIANYUAN CH
0050.HK,HK FERRY (HOLD)
0328.HK,ALCO HOLDINGS
0497.HK,CSI PROPERTIES
2188.HK,TITANS ENERGY
0711.HK,ASIA ALLIED INF
1850.HK,HSC RESOURCES
1037.HK,MAXNERVA TECH
2347.HK,YOHO GROUP
0619.HK,SOUTH CHINA FIN
1400.HK,MOODY TECH HLDG
2212.HK,FB MINING
0911.HK,QIANHAI HEALTH
1728.HK,ZHENGTONGAUTO
2680.HK,INNOVAX HLDGS
0042.HK,NE ELECTRIC
0623.HK,SINOMEDIA
2101.HK,FULU HOLDINGS
1501.HK,INT MEDICAL
8349.HK,GUIXIN GROUP
0420.HK,FOUNTAIN SET
0370.HK,CHINA BEST
2529.HK,HOLLWIN URBAN
6136.HK,KANGDA ENV
2881.HK,WUHAN YOUJI
0825.HK,NWDS CHINA
1498.HK,PURAPHARM
0488.HK,LAI SUN DEV
0346.HK,YANCHANG PETRO
2392.HK,XUANWU CLOUD
0199.HK,ITC PROPERTIES
1335.HK,SHEEN TAI
0943.HK,ZHONGZHENG INTL
0092.HK,CHAMPION TECH
0681.HK,CHI PEOPLE HOLD
6889.HK,DYNAM JAPAN
0423.HK,HKET HOLDINGS
1097.HK,I-CABLE COMM
0289.HK,WING ON CO
1282.HK,RENZE HARVEST
2288.HK,RYKADAN CAPITAL
3399.HK,YUEYUN TRANS
1079.HK,PINE TECH
2348.HK,DAWNRAYS PHARMA
1104.HK,APAC RESOURCES
1239.HK,TEAMWAY INTL GP
0108.HK,GR LIFE STYLE
8037.HK,CH BIOTECH SER
0691.HK,SHANSHUI CEMENT
0994.HK,CT VISION SL
3389.HK,HENGDELI
1808.HK,ENTERPRISE DEV
1726.HK,HKE HOLDINGS
1856.HK,ERNEST BOREL
8130.HK,DADI INTL GROUP
1473.HK,PANGAEA CONNECT
0610.HK,WAI KEE HOLD
1555.HK,MIE HOLDINGS
1425.HK,JUSTIN ALLEN H
0039.HK,CH BEIDAHUANG
1831.HK,SHIFANG HLDG
0334.HK,CH DISPLAY OPT
2012.HK,SUNSHINE OIL
0837.HK,CARPENTER TAN
0608.HK,HIGH FASHION
1996.HK,RSUN PPT
3321.HK,WAI HUNG GROUP
8257.HK,GENES TECH
2898.HK,SUNHO BIO-B
9986.HK,DASHAN EDU
1326.HK,TRANSMIT ENT
1023.HK,SITOY GROUP
0030.HK,YNBY INTL
2433.HK,ZT HN GROUP
2329.HK,GLORY HEALTH
2307.HK,KAM HING INT'L
1665.HK,PENTAMASTER
1283.HK,ACCEL GROUP
1010.HK,SKY BLUE 11
0230.HK,MINMETALS LAND
1314.HK,TSUI WAH HLDG
2112.HK,GRACE LIFE-TECH
1925.HK,KWUNGS AROMA
8348.HK,BINHAI TEDA
1013.HK,WAI CHUN GROUP
1115.HK,TIBET WATER
0878.HK,SOUNDWILL HOLD
0058.HK,SUNWAY INT'L
9908.HK,JIAXING GAS
0810.HK,CH CASTSON 81
0976.HK,CHIHO ENV
1900.HK,CHINA ITS
0021.HK,GREAT CHI HLDGS
1520.HK,VIRTUAL MIND
3991.HK,CHANGHONG JH
1655.HK,OKURA HOLDINGS
2168.HK,KAISA PROSPER
0919.HK,MODERNHEALTHTEC
1739.HK,QEEKA HOME
8367.HK,SIMPLICITY HLDG
0500.HK,FRONTIER SER
8117.HK,CHI P ENERGY
1348.HK,QUALI-SMART
0125.HK,SUN HING VISION
2280.HK,HC GROUP
3773.HK,YS DIGIFAVOR
0471.HK,SILKWAVE INC
9638.HK,FERRETTI
8513.HK,MAXWIN INT HLDG
1481.HK,SMART GLOBE
0128.HK,ENM HOLDINGS
1715.HK,VOLCANO SPRING
0484.HK,FORGAME
1289.HK,SUNLIT SCI
3798.HK,HOMELAND ITL
1568.HK,SUNDART HLDGS
1762.HK,WANKA ONLINE
8365.HK,HATCHER GROUP
3603.HK,XINJI SHAXI
0061.HK,GREEN LEADER
8238.HK,WINTO GROUP
2022.HK,DIGIT HOLLYWOOD
0959.HK,CENTURY ENT INT
0184.HK,KECK SENG INV
1650.HK,HYGIEIA GROUP
0026.HK,CHINA MOTOR BUS
2339.HK,BWI INT'L
0628.HK,GOME FIN TECH
3816.HK,KFM KINGDOM
0147.HK,IB SETTLEMENT
1393.HK,HIDILI INDUSTRY
8645.HK,BYTE META
1243.HK,WANG ON PPT
0953.HK,SHAW BROTHERS
1785.HK,CHENGDU EXPWAY
3666.HK,SHANGHAI XNG
1410.HK,EDVANCE INTL
0290.HK,GOFINTECH INNOV
0080.HK,CNEWECON FUND
1251.HK,SPT ENERGY
1431.HK,YST DAIRY
1132.HK,ORANGE SKY G H
8018.HK,FINSOFT FIN
0032.HK,CROSS-HAR(HOLD)
2323.HK,RENCO HOLDINGS
1449.HK,LEADER EDU
0898.HK,MULTIFIELD INTL
8619.HK,KING OF CATER
3336.HK,JU TENG INTL
6839.HK,YUNNAN WATER
8609.HK,EGGRICULTURE
1617.HK,NANFANG COMM
0986.HK,CH ENV ENERGY
0682.HK,CHAODA MODERN
0367.HK,CHUANG'S INT'L
1427.HK,CH TIANBAO GP
2236.HK,WISON ENGRG
2265.HK,HC ENV TECH
1413.HK,KWONG LUEN ENG
2271.HK,ZHONGAN SERVICE
1630.HK,KIN SHING HLDGS
0146.HK,TAI PING CARPET
1253.HK,GREENLAND BROAD
0255.HK,LUNG KEE
2153.HK,TAT HONG EQUIP
2989.HK,RELIANCE GLO HL
0105.HK,ASSO INT HOTELS
0456.HK,NEW CITY DEV
1796.HK,METASPACEX
0718.HK,TAI UNITED HOLD
8446.HK,BRIGHTSTAR TECH
2350.HK,MTT GROUP
1110.HK,KINGWORLD
3658.HK,NEW HOPE SERV
0265.HK,GANGYU SERVICES
0171.HK,SILVER GRANT
0126.HK,CARRIANNA
6918.HK,KIDZTECH
1429.HK,SKYMISSION GP
1875.HK,TOT BIOPHARM-B
2381.HK,SMC ELECTRIC
1927.HK,JIUJIUWANG
2210.HK,BEIJING JIAYE
1265.HK,TIANJINJINRAN
1480.HK,YAN TAT GROUP
0169.HK,WANDA HOTEL DEV
0970.HK,NEW SPARKLEROLL
8107.HK,FICUS TECH
1720.HK,PUTIAN COMM
1094.HK,CHERISH SUN
0954.HK,CHANGMAO BIO
2051.HK,51 CREDIT CARD
2477.HK,WELLCELL HOLD
3928.HK,S&T HLDGS
0097.HK,HENDERSON INV
8021.HK,WLS HOLDINGS
0936.HK,KAISA CAPITAL
0876.HK,KAISA HEALTH
1329.HK,CAPITAL GRAND
2991.HK,SHOUGANG C RTS
6829.HK,DRAGON RISE GP
0428.HK,COCOON HOLDINGS
2535.HK,WK GROUP
0668.HK,DOYEN INTL HOLD
0104.HK,ASIA COMM HOLD
0912.HK,SUGA INT'L
1278.HK,CHINANEWTOWN
2789.HK,YUANDA CHINA
1652.HK,FUSEN PHARM
6036.HK,APEX ACE HLDG
1161.HK,WATER OASIS GP
0592.HK,BOSSINI INT'L
0575.HK,REGENT PACIFIC
0329.HK,OCI INTL
0385.HK,CHINNEY ALLI
8196.HK,FUTIAN HOLDINGS
1598.HK,21CENTURY EDU
2127.HK,HUISEN SHARES
2425.HK,AUSTASIA GROUP
2389.HK,BJ HEALTH
1962.HK,EVERGREEN PG
1084.HK,GF HYDROCOLLOID
1705.HK,B & S INTL HLDG
2076.HK,BOSS ZHIPIN-W
0353.HK,ENERGY INTINV
2185.HK,BIOHEART-B
1871.HK,CHINA ORIENTED
8227.HK,HAITIAN ANTENNA
8250.HK,SILK RD ENERGY
1758.HK,BOJUN EDU
0905.HK,WALNUT CAP
1397.HK,BAGUIO GREEN
2501.HK,MAIYUE TECH
0254.HK,NUR HOLDINGS
1301.HK,D&G TECH
0110.HK,CHINA FORTUNE
0306.HK,KWOON CHUNG BUS
2372.HK,WEILI HOLDINGS
0582.HK,SHIN HWA WORLD
8053.HK,PIZU GROUP
1237.HK,CH ENV TECH&BIO
0380.HK,CHINA PIPE
0572.HK,FW HOLDINGS
0841.HK,CASSAVA RES
1751.HK,KINGLAND GROUP
0925.HK,BJ PROPERTIES
0932.HK,SHUNTEN INTL
0496.HK,KASEN
0983.HK,SOCAM DEV
0526.HK,LISI GP HOLD
1802.HK,WENYE GROUP
2882.HK,3DG HOLDINGS
0084.HK,STELUX HOLDINGS
2327.HK,MEILLEUREHEALTH
0804.HK,PINESTONE
1901.HK,FEIYANG GROUP
0907.HK,ELEGANCEOPTICAL
1412.HK,Q P GROUP
1327.HK,LUXXU GROUP
0150.HK,HYPEBEAST
0528.HK,KINGDOM HOLDING
1663.HK,S HARBOURHOLD
0343.HK,CULTURECOM HOLD
8007.HK,GLOBALSTRAT
1319.HK,OIWAHPAWN
0508.HK,DINGYI GP INV
0814.HK,JINGKELONG
2518.HK,AUTOHOME-S
2189.HK,KATO (HK) HLDGS
0662.HK,ASIA FINANCIAL
0475.HK,CENTRAL DEV H
0828.HK,DYNASTY WINES
6833.HK,SINCO PHARMA
0947.HK,MOBI DEV
1884.HK,EPRINT GROUP
2442.HK,EASY SMART GP
0827.HK,KO YO GROUP
2489.HK,PERSISTENCE RES
0261.HK,GBA HOLDINGS
6922.HK,CRYOFOCUS-B
1601.HK,ZGC TEC LEASING
8049.HK,JILIN CHANGLONG
1953.HK,RIMBACO
0695.HK,DONGWU CEMENT
0789.HK,ARTINI HLDG
0122.HK,CROCODILE
1184.HK,S.A.S. DRAGON
9913.HK,CHI KAN HLDGS
1957.HK,MBV INTL
1576.HK,QILU EXPRESSWAY
3368.HK,PARKSON GROUP
8069.HK,FLYDOO TECH
9608.HK,SUNDY SERVICE
3889.HK,GLOBAL SWEET
1738.HK,FS ANTHRACITE
1292.HK,CMA LOGISTICS
1613.HK,SYNERTONE
1661.HK,CH FRONTIER TEC
2988.HK,BONJOUR HOLD
1827.HK,MIRICOR
8220.HK,BINGO GROUP
2371.HK,CHUANGLIAN HOLD
6909.HK,BETTERLIFE HLDG
8120.HK,CH DEMETER FIN
2738.HK,HUAJIN INTL
8062.HK,EFT SOLUTIONS
8136.HK,IMS GROUP
6033.HK,TELECOM DIGIT
1156.HK,CHINANEWENERGY
3686.HK,CLIFFORDML
0160.HK,HON KWOK LAND
1938.HK,CHU KONG PIPE
8098.HK,CL GROUP
1380.HK,CHI KINGSTONE
0194.HK,LIU CHONG HING
0980.HK,LIANHUA
1273.HK,HK FINANCE GP
0076.HK,ELATE HOLDINGS
8612.HK,WORLD SUPER
0131.HK,CHEUK NANG HOLD
1001.HK,HK SH ALLIANCE
6890.HK,KANGLI INT HLDG
1218.HK,EASYKNIT INT'L
6657.HK,BAIWANG CO
0687.HK,TYSAN HOLDINGS
0509.HK,SUNSHINE
1683.HK,HOPE LIFE INT
1338.HK,BAWANG GROUP
1736.HK,PARENTING NET
1987.HK,BENG SOON MACH
0046.HK,COMPUTER & TECH
1865.HK,TRENDZON H-NEW
0156.HK,LIPPO CHINA RES
0211.HK,STYLAND HOLD
1737.HK,A & S GROUP
1490.HK,CHESHI TECH
2222.HK,NVC INTL
1551.HK,GRCB
8489.HK,GP LOGISTICS
2078.HK,PANASIALUM
1351.HK,BRIGHT FUTURE
0201.HK,MAGNIFICENT
1685.HK,BOER POWER
6939.HK,MEGAIN
1731.HK,PROSPEROUS IND
6199.HK,BANK OF GUIZHOU
0897.HK,WAI YUEN TONG
1262.HK,LABIXIAOXIN
0262.HK,DESON DEV INT'L
8063.HK,GLOBAL M HLDG
0929.HK,IPE GROUP
1679.HK,RISECOMM GP
0858.HK,EXTRAWELL PHAR
0063.HK,CHI ASIA VALLEY
8262.HK,SUPER STRONG
0722.HK,UMP
0332.HK,YUANHENG GAS
0356.HK,DT CAPITAL
0731.HK,C&D NEWIN
0276.HK,MONGOLIA ENERGY
0583.HK,GWPA HOLDINGS
8300.HK,JIN MI FANG GP
1063.HK,SUNCORP TECH
8340.HK,ZIJING INTL FIN
0989.HK,HUA YIN INTL H
1973.HK,TIAN TU CAPITAL
1080.HK,SHENGLI PIPE
8178.HK,CHINA INFO TECH
0893.HK,CHINAVTM MINING
0626.HK,PUBLIC FIN HOLD
1708.HK,SAMPLE TECH
0987.HK,CH RENEW EN INV
1134.HK,KELFRED
0833.HK,ALLTRONICS
0574.HK,PASHUN INT'L
8047.HK,CHINA OCEAN GP
8353.HK,ANACLE
8103.HK,HMVOD
1419.HK,HUMAN HEALTH
2250.HK,B.DUCK SEMK
0018.HK,ORIENTAL E H
1532.HK,CHINA PARTYTIME
1290.HK,CHINA HUIRONG
0089.HK,TAI SANG LAND
1723.HK,HK ASIA HLDGS
1483.HK,NET-A-GO TECH
1937.HK,JIACHEN HOLDING
2683.HK,WAHSUN HANDBAGS
1146.HK,HUICHENG INTL H
0491.HK,EMPEROR CULTURE
0369.HK,WING TAI PPT
2509.HK,QYUNS-B
0831.HK,CR ASIA
1406.HK,CLARITY MEDICAL
0309.HK,XH NEWS MEDIA
1224.HK,C C LAND
8179.HK,PALINDA GROUP
1433.HK,CIRTEK HLDGS
1771.HK,SUNFONDA GP
1240.HK,CNQC INT'L
1328.HK,GOLDSTREAM INV
8191.HK,HONG WEI ASIA
2502.HK,JINYUAN HCHEM
0726.HK,DIT GROUP
0202.HK,EVERCHINA INT'L
0730.HK,CAPITAL IND FIN
1727.HK,HEBEI CONS
8629.HK,SYNTRUST GK
1872.HK,GUAN CHAO HLDGS
1446.HK,HUNGFOOKTONG
2376.HK,LUSHANGSERVICES
1917.HK,DOUMOB
6877.HK,CLSA PREMIUM
1795.HK,YADONG GROUP
6063.HK,LOTUS HORIZON
1823.HK,HUAYUEXPRESSWAY
3332.HK,SINOLIFE UTD
1566.HK,CA CULTURAL
8368.HK,CREATIVE CHINA
0635.HK,PLAYMATES
8048.HK,YU TAK INT'L
8420.HK,NEXION TECH
8036.HK,EBROKER GROUP
1388.HK,EMBRY HOLDINGS
1101.HK,HUARONG ENERGY
0212.HK,NANYANG HOLD
0540.HK,SPEEDY GLOBAL
0767.HK,ZHONG JI LS
8350.HK,WELL LINK SEC
0417.HK,TSE SUI LUEN
6866.HK,ZUOLI M-FIN
1408.HK,MACAU E&M
0145.HK,CCIAM FUTURE EN
0077.HK,AMS TRANSPORT
0679.HK,ASIA TELE-NET
0505.HK,XINGYE ALLOY
1868.HK,NEO-NEON
8360.HK,AL GROUP
0299.HK,GLORY SUN LAND
2499.HK,FOLANGSI
2129.HK,LEGION CONSO
0622.HK,OSHIDORI
8148.HK,WUXI LIFE
8121.HK,GUOEN HOLDINGS
0852.HK,STRONG PETRO
1842.HK,GROWN UP GROUP
0176.HK,SUPERACTIVE GP
8060.HK,GLOBAL LINK
0022.HK,MEXAN
8186.HK,ALMANA
1202.HK,SIWI SCI & TECH
2358.HK,JIU RONG HOLD
8631.HK,SUN KONG HLDGS
2223.HK,CASABLANCA
0274.HK,RA SILK ROAD
0918.HK,MAJESTIC DRAGON
1059.HK,KANTONE HOLDING
3728.HK,CHING LEE
1749.HK,SHANSHAN
1689.HK,HUAXIHOLDINGS
0055.HK,NEWAY GROUP
0601.HK,REMT
0822.HK,KA SHUI INT'L
1701.HK,TU YI HLDG
0264.HK,CN INT DEV CORP
1069.HK,CN HEALTH TECH
6868.HK,TENFU
8366.HK,ZJ UNITED INV
0129.HK,ASIA STANDARD
2011.HK,GILSTON GROUP
0213.HK,NATIONAL ELEC H
0518.HK,TUNGTEX (HOLD)
6928.HK,TOMO HOLDINGS
6038.HK,G & M HLDGS
0295.HK,KONG SUN HOLD
0225.HK,POKFULAM
0339.HK,CN SCI-TECH IND
8418.HK,OPTIMA AUTO
2263.HK,FU SHEK FIN
1930.HK,SHINELONG
2025.HK,RUIFENG POWER
8132.HK,CENTURY EN INTL
1124.HK,COASTAL GL
0629.HK,YUE DA INTL
0844.HK,GREATIME INTL
1049.HK,CELESTIAL ASIA
0396.HK,HING LEE (HK)
2293.HK,BAMBOOSHEALTH
1950.HK,DIWANG IND H
1466.HK,AFFLUENTPARTNER
1235.HK,TRAVEL EXPERT
8270.HK,CHINA CBM
0138.HK,CCT FORTIS
3660.HK,QFIN-S
8153.HK,JIADING INTL GP
2086.HK,LEADWAY TECH
1695.HK,S&P INTL HLDG
0162.HK,CENTURY GINWA
0532.HK,WKK INTL (HOLD)
