Symbol,Name
3896.HK,KINGSOFT CLOUD
1519.HK,J&T EXPRESS-W
0270.HK,GUANGDONG INV
2268.HK,WUXI XDC
1060.HK,ALI PICTURES
1618.HK,MCC
0293.HK,CATHAY PAC AIR
9880.HK,UBTECH ROBOTICS
2016.HK,CZBANK
2208.HK,GOLDWIND
1530.HK,3SBIO
0392.HK,BEIJING ENT
0135.HK,KUNLUN ENERGY
0322.HK,TINGYI
1114.HK,BRILLIANCE CHI
9890.HK,ZX INC
2727.HK,SH ELECTRIC
9676.HK,SHIYUE DAOTIAN
1179.HK,HWORLD-S
1164.HK,CGN MINING
0884.HK,CIFI HOLD GP
1579.HK,YIHAI INTL
3808.HK,SINOTRUK
6869.HK,YOFC
6855.HK,ASCENTAGE-B
0165.HK,CHINA EB LTD
0874.HK,BAIYUNSHAN PH
1516.HK,SUNAC SERVICES
1208.HK,MMG
1958.HK,BAIC MOTOR
2400.HK,XD INC
0881.HK,ZHONGSHENG HLDG
1368.HK,XTEP INT'L
0467.HK,UNITEDENERGY GP
0867.HK,CMS
1896.HK,MAOYAN ENT
0013.HK,HUTCHMED
1833.HK,PA GOODDOCTOR
1999.HK,MAN WAH HLDGS
1157.HK,ZOOMLION
1308.HK,SITC
2555.HK,CHABAIDAO
0257.HK,EB ENVIRONMENT
9690.HK,TUHU-W
2099.HK,CHINAGOLDINTL
3319.HK,A-LIVING
1508.HK,CHINA RE
0144.HK,CHINA MER PORT
6181.HK,LAOPU GOLD
0066.HK,MTR CORPORATION
9869.HK,HELENS
1610.HK,COFCO JOYCOME
1274.HK,IMOTIONAUTOTECH
9995.HK,REMEGEN
0694.HK,BEIJING AIRPORT
6049.HK,POLY PPT SER
2858.HK,YIXIN
1972.HK,SWIREPROPERTIES
0288.HK,WH GROUP
0425.HK,MINTH GROUP
3383.HK,AGILE GROUP
0839.HK,CHINA EDU GROUP
3618.HK,CQRC BANK
6196.HK,BANKOFZHENGZHOU
2273.HK,GUSHENGTANG
IPO2576.HK,TAIMEI TECH
2777.HK,R&F PROPERTIES
1773.HK,TIANLI INT HLDG
6055.HK,CTIHK
1349.HK,FUDANZHANGJIANG
0570.HK,TRAD CHI MED
6818.HK,CEB BANK
1302.HK,LIFETECH SCI
0012.HK,HENDERSON LAND
1929.HK,CHOW TAI FOOK
1428.HK,BRIGHT SMART
3738.HK,VOBILE GROUP
2607.HK,SH PHARMA
6660.HK,AIM VACCINE
1044.HK,HENGAN INT'L
1541.HK,IMMUNEONCO-B
0909.HK,MING YUAN CLOUD
0956.HK,CHINA SUNTIEN
6185.HK,CANSINOBIO
6110.HK,TOPSPORTS
2666.HK,UNI MEDICAL
1997.HK,WHARF REIC
1798.HK,DATANG RENEW
9979.HK,GREENTOWN MGMT
6088.HK,FIT HON TENG
6127.HK,JOINN
2121.HK,AINNOVATION
1415.HK,COWELL
1882.HK,HAITIAN INT'L
0460.HK,SIHUAN PHARM
1313.HK,CR BLDG MAT TEC
2096.HK,SIMCERE PHARMA
6666.HK,EVERG SERVICES
0880.HK,SJM HOLDINGS
2162.HK,KEYMED BIO-B
0081.HK,CH OVS G OCEANS
3933.HK,UNITED LAB
6990.HK,SKB BIO-B
0038.HK,FIRST TRACTOR
1071.HK,HUADIAN POWER
0152.HK,SHENZHEN INT'L
1033.HK,SINOPEC SSC
2252.HK,MEDBOT-B
2386.HK,SINOPEC SEG
6963.HK,SUNSHINE INS
2186.HK,LUYE PHARMA
0297.HK,SINOFERT
2233.HK,WESTCHINACEMENT
0975.HK,MONGOL MINING
9969.HK,INNOCARE
0119.HK,POLY PROPERTY
1038.HK,CKI HOLDINGS
2150.HK,NAYUKI
6683.HK,STARPLUS LEGEND
3996.HK,CH ENERGY ENG
0019.HK,SWIRE PACIFIC A
0631.HK,SANY INT'L
0363.HK,SHANGHAI IND H
1725.HK,USPACE TECH
1877.HK,JUNSHI BIO
0656.HK,FOSUN INTL
0177.HK,JIANGSU EXPRESS
1888.HK,KB LAMINATES
1448.HK,FU SHOU YUAN
0670.HK,CHINA EAST AIR
1070.HK,TCL ELECTRONICS
1789.HK,AK MEDICAL
3969.HK,CHINA CRSC
0148.HK,KINGBOARD HLDG
1072.HK,DONGFANG ELEC
6699.HK,ANGELALIGN
9688.HK,ZAI LAB
0525.HK,GUANGSHEN RAIL
1908.HK,C&D INTL GROUP
80388.HK,HKEX-R
2009.HK,BBMG
3668.HK,YANCOAL AUS
0719.HK,SHANDONG XINHUA
9966.HK,ALPHAMAB-B
3360.HK,FE HORIZON
1258.HK,CHINFMINING
8083.HK,YOUZAN
9959.HK,LINKLOGIS-W
0861.HK,DC HOLDINGS
3396.HK,LEGENDHOLDING
0552.HK,CHINACOMSERVICE
0558.HK,LK TECH
0754.HK,HOPSON DEV HOLD
6823.HK,HKT-SS
0667.HK,CHINA EAST EDU
2669.HK,CHINA OVS PPT
2689.HK,ND PAPER
9989.HK,HEPALINK
0991.HK,DATANG POWER
83690.HK,MEITUAN-WR
0338.HK,SHANGHAI PECHEM
2866.HK,COSCO SHIP DEV
2869.HK,GREENTOWN SER
1811.HK,CGN NEW ENERGY
0200.HK,MELCO INT'L DEV
3650.HK,KEEP
6821.HK,ASYMCHEM
1316.HK,NEXTEER
3613.HK,TONGRENTANGCM
1963.HK,BCQ
0683.HK,KERRY PPT
0347.HK,ANGANG STEEL
2602.HK,ONEWO
1513.HK,LIVZON PHARMA
0272.HK,SHUI ON LAND
1199.HK,COSCO SHIP PORT
0546.HK,FUFENG GROUP
1066.HK,WEIGAO GROUP
2155.HK,MORIMATSU INTL
3990.HK,MIDEA REAL EST
0855.HK,CHINA WATER
9698.HK,GDS-SW
3311.HK,CHINA STATE CON
0371.HK,BJ ENT WATER
2407.HK,GAUSH MEDITECH
0710.HK,BOE VARITRONIX
2517.HK,GUOQUAN
6908.HK,HG SEMI
0220.HK,U-PRESID CHINA
0548.HK,SHENZHENEXPRESS
1675.HK,ASIAINFO TECH
2411.HK,PAGODA GP
0535.HK,GEMDALE PPT
6698.HK,STAR CM
0142.HK,FIRST PACIFIC
0553.HK,NANJING PANDA
0218.HK,SWHYHK
2172.HK,MICROPORT NEURO
0512.HK,GRAND PHARMA
3380.HK,LOGAN GROUP
0564.HK,ZMJ
2255.HK,HAICHANG HLDG
2429.HK,UBOX ONLINE
0590.HK,LUK FOOK HOLD
0598.HK,SINOTRANS
89888.HK,BIDU-SWR
1478.HK,Q TECH
80992.HK,LENOVO GROUP-R
6680.HK,JLMAG
2171.HK,CARSGEN-B
6198.HK,QINGDAO PORT
0085.HK,CE HUADA TECH
2453.HK,CONCORD HC GP
0179.HK,JOHNSON ELEC H
1515.HK,CR MEDICAL
1635.HK,DZUG
1458.HK,ZHOU HEI YA
1119.HK,IDREAMSKY
1821.HK,ESR
2158.HK,YIDU TECH
1361.HK,361 DEGREES
0095.HK,LVGEM CHINA
3377.HK,SINO-OCEAN GP
2469.HK,FENBI
0806.HK,VALUE PARTNERS
0010.HK,HANG LUNG GROUP
6069.HK,SY HOLDINGS
1528.HK,RS MACALLINE
3883.HK,CHINA AOYUAN
9885.HK,YSB
1053.HK,CHONGQING IRON
1558.HK,HEC CJ PHARM
89988.HK,BABA-WR
3306.HK,JNBY
1969.HK,CHINA CHUNLAI
2169.HK,CANGGANGRAILWAY
1799.HK,XINTE ENERGY
2888.HK,STANCHART
2343.HK,PACIFIC BASIN
2362.HK,JINCHUAN INTL
2285.HK,CHERVON
0083.HK,SINO LAND
0639.HK,SHOUGANG RES
2878.HK,SOLOMON SYSTECH
0751.HK,SKYWORTH GROUP
0995.HK,ANHUIEXPRESSWAY
3899.HK,CIMC ENRIC
0934.HK,SINOPEC KANTONS
1860.HK,MOBVISTA
2877.HK,SHINEWAY PHARM
82318.HK,PING AN-R
1907.HK,CHINA RISUN GP
1812.HK,CHENMING PAPER
0008.HK,PCCW
0345.HK,VITASOY INT'L
0357.HK,MEILAN AIRPORT
9858.HK,YOURAN DAIRY
1883.HK,CITIC TELECOM
2145.HK,CHICMAX
0520.HK,XIABUXIABU
3918.HK,NAGACORP
0596.HK,INSPUR DIGI ENT
6826.HK,HAOHAI BIOTEC
3868.HK,XINYI ENERGY
1729.HK,TIME INTERCON
2005.HK,SSY GROUP
0323.HK,MAANSHAN IRON
0336.HK,HUABAO INTL
0302.HK,CMGE
2314.HK,LEE & MAN PAPER
0087.HK,SWIRE PACIFIC B
9997.HK,KANGJI MEDICAL
1913.HK,PRADA
1117.HK,CH MODERN D
1477.HK,OCUMENSION-B
2105.HK,LAEKNA-B
9911.HK,NEWBORNTOWN
2157.HK,LEPU BIO-B
0579.HK,JNCEC
1858.HK,CHUNLI MEDICAL
1083.HK,TG SMART ENERGY
6655.HK,HUAXIN CEMENT
0031.HK,CHINA AEROSPACE
0303.HK,VTECH HOLDINGS
1681.HK,CONSUN PHARMA
1277.HK,KINETIC DEV
0777.HK,NETDRAGON
0014.HK,HYSAN DEV
0151.HK,WANT WANT CHINA
0187.HK,JINGCHENG MAC
9658.HK,SUPER HI
0410.HK,SOHO CHINA
8316.HK,CHINA HONGBAO
